id,Age,Academic Pressure,Work Pressure,CGPA,Study Satisfaction,Sleep Duration,Work/Study Hours,Financial Stress,sleep_hours,decision_fatigue_level
2,33,5,0,8.97,2,5-6 hours,3,1,5.5,2
8,24,2,0,5.9,5,5-6 hours,3,2,5.5,1
26,31,3,0,7.03,5,Less than 5 hours,9,1,4,2
30,28,3,0,5.59,2,7-8 hours,4,5,7.5,1
32,25,4,0,8.13,3,5-6 hours,1,1,5.5,2
33,29,2,0,5.7,3,Less than 5 hours,4,1,4,0
52,30,3,0,9.54,4,7-8 hours,1,2,7.5,1
56,30,2,0,8.04,4,Less than 5 hours,0,1,4,0
59,28,3,0,9.79,1,7-8 hours,12,3,7.5,1
62,31,2,0,8.38,3,Less than 5 hours,2,5,4,0
83,24,3,0,6.1,3,5-6 hours,11,1,5.5,2
91,33,3,0,7.03,4,Less than 5 hours,10,2,4,2
94,27,5,0,7.04,1,Less than 5 hours,10,1,4,2
100,19,2,0,8.52,4,Less than 5 hours,6,2,4,0
103,19,5,0,5.64,5,Less than 5 hours,4,5,4,2
106,29,3,0,8.58,3,More than 8 hours,10,2,8.5,0
120,25,5,0,6.51,2,Less than 5 hours,2,5,4,2
132,20,5,0,7.25,3,5-6 hours,10,3,5.5,2
139,19,2,0,7.83,2,7-8 hours,6,3,7.5,1
145,25,3,0,9.93,3,5-6 hours,8,3,5.5,2
161,29,3,0,8.74,4,5-6 hours,1,1,5.5,1
162,29,3,0,6.73,3,7-8 hours,0,1,7.5,1
166,25,3,0,5.57,3,More than 8 hours,10,5,8.5,0
172,23,1,0,8.59,4,7-8 hours,11,3,7.5,0
173,18,4,0,7.1,3,More than 8 hours,11,5,8.5,0
176,20,5,0,8.58,5,7-8 hours,2,2,7.5,0
186,31,2,0,6.08,5,7-8 hours,3,3,7.5,1
193,25,3,0,7.25,3,More than 8 hours,10,5,8.5,0
208,33,5,0,5.74,2,Less than 5 hours,8,3,4,2
214,28,3,0,9.86,3,7-8 hours,11,2,7.5,1
222,18,4,0,6.7,5,Less than 5 hours,5,4,4,2
232,18,2,0,6.21,3,5-6 hours,4,2,5.5,1
239,21,1,0,7.25,1,Less than 5 hours,7,2,4,2
240,31,1,0,5.87,3,7-8 hours,8,4,7.5,0
242,21,1,0,8.04,3,More than 8 hours,0,3,8.5,0
253,25,1,0,6.37,3,7-8 hours,2,2,7.5,0
255,21,5,0,9.72,2,5-6 hours,0,4,5.5,2
263,28,5,0,5.88,3,7-8 hours,9,1,7.5,0
270,28,1,0,9.56,2,7-8 hours,6,3,7.5,0
273,25,3,0,6.51,4,7-8 hours,3,4,7.5,1
274,20,3,0,6.99,2,7-8 hours,11,5,7.5,1
277,23,2,0,6.1,4,5-6 hours,10,1,5.5,2
280,19,1,0,5.24,3,5-6 hours,2,1,5.5,0
285,33,4,0,9.21,1,Less than 5 hours,10,5,4,2
294,23,1,0,7.85,4,More than 8 hours,12,5,8.5,0
301,22,1,0,9.93,1,7-8 hours,10,1,7.5,0
303,19,2,0,6.95,2,Less than 5 hours,2,3,4,0
305,30,1,0,5.86,3,Less than 5 hours,1,4,4,0
310,21,3,0,7.04,3,Less than 5 hours,1,5,4,0
312,19,5,0,6.99,5,More than 8 hours,0,4,8.5,0
315,23,3,0,7.92,3,Less than 5 hours,10,4,4,2
316,23,5,0,9.66,1,7-8 hours,12,5,7.5,0
324,18,3,0,5.7,5,5-6 hours,11,4,5.5,2
328,28,4,0,8.94,1,7-8 hours,12,1,7.5,0
335,24,2,0,8.04,3,5-6 hours,8,1,5.5,2
336,33,1,0,9.71,1,More than 8 hours,5,2,8.5,0
337,20,3,0,8.04,2,5-6 hours,7,3,5.5,2
340,23,5,0,7.87,1,7-8 hours,11,4,7.5,0
343,23,5,0,5.74,1,5-6 hours,11,4,5.5,2
347,24,3,0,5.6,1,Less than 5 hours,9,2,4,2
348,25,5,0,9.21,1,5-6 hours,7,3,5.5,2
351,24,4,0,7.9,3,5-6 hours,3,5,5.5,2
367,24,3,0,5.46,4,7-8 hours,10,5,7.5,1
370,31,1,0,6.79,5,More than 8 hours,0,3,8.5,0
381,20,5,0,8.7,4,Less than 5 hours,4,5,4,2
385,21,2,0,7.38,5,Less than 5 hours,2,5,4,0
392,25,1,0,8.5,3,7-8 hours,11,4,7.5,0
398,19,2,0,7.09,4,7-8 hours,11,1,7.5,1
407,34,3,0,9.82,3,More than 8 hours,12,5,8.5,0
408,24,1,0,8.89,4,5-6 hours,10,2,5.5,2
414,33,5,0,7.94,3,Less than 5 hours,8,1,4,2
420,32,3,0,9.11,5,7-8 hours,5,5,7.5,1
421,18,3,0,6.75,4,7-8 hours,6,4,7.5,1
423,31,1,0,7.53,4,Less than 5 hours,7,1,4,2
425,25,3,0,9.49,5,7-8 hours,9,2,7.5,1
429,20,1,0,9.01,4,5-6 hours,3,3,5.5,0
441,31,2,0,7.64,1,7-8 hours,0,1,7.5,1
447,24,5,0,5.27,1,7-8 hours,6,3,7.5,0
454,24,5,0,8.74,2,Less than 5 hours,8,4,4,2
455,23,5,0,6,2,5-6 hours,0,3,5.5,2
457,25,2,0,9.44,1,More than 8 hours,7,3,8.5,0
464,25,2,0,5.75,3,More than 8 hours,5,5,8.5,0
467,25,1,0,7.51,2,More than 8 hours,7,1,8.5,0
475,28,2,0,6.37,1,5-6 hours,4,5,5.5,1
477,20,4,0,6.95,4,More than 8 hours,12,5,8.5,0
484,24,1,0,7.1,5,Less than 5 hours,6,5,4,0
487,23,1,0,9.66,4,5-6 hours,12,3,5.5,2
491,19,3,0,9.05,1,More than 8 hours,1,5,8.5,0
494,24,3,0,6.38,3,Less than 5 hours,11,4,4,2
503,34,2,0,8.5,5,More than 8 hours,1,2,8.5,0
508,25,2,0,7.09,4,5-6 hours,8,4,5.5,2
509,28,1,0,8.97,2,7-8 hours,3,4,7.5,0
510,27,3,0,8.95,1,More than 8 hours,4,4,8.5,0
522,22,2,0,9.88,4,More than 8 hours,0,2,8.5,0
523,27,4,0,6.75,1,5-6 hours,10,4,5.5,2
525,34,3,0,5.32,3,7-8 hours,7,4,7.5,1
529,22,4,0,6.27,4,5-6 hours,10,3,5.5,2
530,23,3,0,7.7,2,More than 8 hours,11,3,8.5,0
534,24,3,0,9.66,1,Less than 5 hours,9,1,4,2
535,21,5,0,8.1,1,More than 8 hours,9,3,8.5,0
538,26,4,0,9.59,2,Less than 5 hours,11,5,4,2
539,24,5,0,8.96,1,5-6 hours,12,5,5.5,2
541,34,2,0,7.51,5,Less than 5 hours,7,1,4,2
543,29,5,0,5.32,1,Less than 5 hours,11,1,4,2
556,33,1,0,8.95,3,5-6 hours,10,3,5.5,2
580,21,1,0,8.5,3,5-6 hours,10,3,5.5,2
587,33,2,0,5.51,5,Less than 5 hours,12,1,4,2
589,28,4,0,7.43,2,More than 8 hours,6,5,8.5,0
592,27,2,0,8.79,1,5-6 hours,8,4,5.5,2
594,33,2,0,9.95,4,Less than 5 hours,0,2,4,0
595,18,5,0,9.79,5,Less than 5 hours,10,5,4,2
598,20,5,0,5.37,4,Less than 5 hours,12,3,4,2
608,19,3,0,6.86,4,Less than 5 hours,12,3,4,2
609,21,5,0,7.83,1,5-6 hours,11,3,5.5,2
611,32,2,0,8.32,1,Less than 5 hours,12,4,4,2
617,32,3,0,5.51,2,7-8 hours,7,4,7.5,1
620,33,3,0,9.74,1,Less than 5 hours,5,1,4,0
623,23,5,0,5.66,1,Less than 5 hours,11,4,4,2
626,24,3,0,7.48,4,Less than 5 hours,10,4,4,2
632,20,4,0,8.89,3,More than 8 hours,6,4,8.5,0
658,24,5,0,8.23,2,Less than 5 hours,4,3,4,2
660,22,5,0,8.81,1,Less than 5 hours,8,1,4,2
662,26,5,0,6.03,4,More than 8 hours,11,2,8.5,0
668,18,5,0,9.44,4,More than 8 hours,3,5,8.5,0
671,26,3,0,7.25,3,7-8 hours,9,5,7.5,1
673,33,1,0,5.56,1,More than 8 hours,9,3,8.5,0
676,19,3,0,5.68,1,5-6 hours,10,5,5.5,2
681,26,3,0,5.14,3,7-8 hours,12,1,7.5,1
683,34,3,0,7.61,2,Less than 5 hours,3,4,4,0
